text,label
"Generate a complete website for my fintech startup with a hero section showcasing our mobile banking app, a pricing table, and a secure client login area.",Finance
"Build a professional website for my wealth management firm, including team bios, a blog on retirement planning, and a contact form for high-net-worth clients.",Finance
"I need a landing page for my new crypto trading platform. Include a live price ticker, a 'How It Works' section, and a bold call-to-action for signing up.",Finance
"Design a sleek multi-page site for my mortgage brokerage. Must have a loan calculator, client testimonials slider, and an online application upload feature.",Finance
"Create a modern homepage for my personal finance coaching business. Include a video intro, a services grid, and a booking calendar for free consultations.",Finance
"Build a corporate-style website for my insurance agency. I need pages for auto, home, and life insurance, plus an instant quote generator tool.",Finance
"Generate a responsive site for my investment advisory firm focused on ESG funds. Include a portfolio performance chart, a blog, and a newsletter signup.",Finance
"I want a clean website for my accounting practice. Features: service packages, a secure client portal for document sharing, and an FAQ section about taxes.",Finance
"Design a high-converting landing page for my peer-to-peer lending marketplace. Showcase investor returns, borrower stories, and a simple application process.",Finance
"Build a website for my financial literacy nonprofit. Need a donation button, event calendar for workshops, and success stories from past participants.",Finance
"Create a professional site for my day trading mentorship program. Include a live market feed, a members-only dashboard, and a testimonials section.",Finance
"I need a modern web presence for my credit union. Design a homepage with branch locator, loan rates, and a secure online banking login module.",Finance
"Generate a sleek website for my venture capital firm. Showcase our portfolio companies, investment criteria, and a contact form for startup pitches.",Finance
"Build a mobile-first landing page for my micro-investing app. Features: explainer video, app store badges, and a referral program banner.",Finance
"Design a corporate site for my commercial bank's small business division. Include business loan products, treasury services, and an online application.",Finance
"Create a website for my financial consulting practice specializing in M&A. Need case studies, a team page, and a resource library for clients.",Finance
"I want a bold homepage for my cryptocurrency exchange. Include security badges, a trading dashboard preview, and a step-by-step user guide.",Finance
"Build a responsive site for my retirement planning advisory. Features: a retirement savings calculator, client portal, and a blog with financial tips.",Finance
"Generate a landing page for my fintech accelerator program. Include application form, mentor profiles, and success metrics from past cohorts.",Finance
"Design a professional site for my debt consolidation service. Emphasize a free consultation offer, a payment plan visualizer, and client reviews.",Finance
"Create a modern website for my stock brokerage firm. Include a market news feed, a demo account signup, and a pricing page for trading plans.",Finance
"Build a website for my family office service. Need private client login, estate planning resources, and a secure messaging system for high-net-worth families.",Finance
"I need a clean landing page for my financial wellness app. Include a habit tracker preview, a subscription plan, and a testimonial carousel.",Finance
"Design a consulting-style site for my actuarial services firm. Showcase our risk modeling expertise, white papers, and a client case study section.",Finance
"Generate a homepage for my foreign exchange broker. Features: live currency converter, trading platform download, and a 24/7 support chat widget.",Finance
"Build a corporate site for my real estate investment trust. Include property portfolio galleries, dividend distribution history, and an investor relations page.",Finance
"Create a responsive website for my insurance brokerage. Need a multi-step quote form, policy comparison tool, and a claims reporting system.",Finance
"I want a modern site for my sustainable investment platform. Highlight ESG screening tools, impact metrics, and a client onboarding flow.",Finance
"Design a landing page for my financial compliance consultancy. Include regulatory updates, a service overview, and a secure client upload area.",Finance
"Build a website for my pension fund advisory. Features: plan performance dashboards, participant education materials, and a contact form for employers.",Finance
"Generate a professional homepage for my management consultancy. Include a slider with client logos, a services dropdown, and a 'Meet the Partners' section.",Consulting
"Build a sleek website for my HR consulting firm. Need a job board integration, a culture assessment tool, and a page for leadership training programs.",Consulting
"I need a landing page for my digital transformation consultancy. Showcase case studies, a methodology diagram, and a free readiness assessment form.",Consulting
