text,label
business consulting company website,Consulting
digital transformation consulting,Consulting
business development advisory,Consulting
strategic advisory firm,Consulting
financial advisory firm website,Finance
investment platform website,Finance
project financing consulting,Finance
wealth management company,Finance
AI automation company website,Technology
software development company website,Technology
cloud solutions company,Technology
tech startup landing page,Technology
corporate services website,Corporate
holding company website,Corporate
professional company website,Corporate
enterprise solutions website,Corporate
digital marketing agency website,Agency
branding agency portfolio,Agency
creative agency website,Agency
web design agency services,Agency
restaurant menu and reservation,Restaurant
italian restaurant website,Restaurant
coffee shop landing page,Restaurant
dental clinic appointment website,Medical
medical center services,Medical
doctor consultation booking,Medical
online shopping store,Ecommerce
ecommerce shopping website,Ecommerce
buy products online,Ecommerce
university online courses,Education
training courses website,Education
school website,Education
personal developer portfolio,Portfolio
graphic designer portfolio,Portfolio
photographer portfolio website,Portfolio
real estate property listing,RealEstate
property agency website,RealEstate
gym fitness coaching website,Fitness
personal trainer website,Fitness
beauty salon booking website,Beauty
spa and beauty services,Beauty
travel agency tours website,Travel
hotel booking website,Travel
charity donation website,NonProfit
non profit organization website,NonProfit
