source_type,file,html_length,button_count,card_count,section_count,nav_count,form_count,image_count,link_count,heading_count,has_hero,has_pricing,has_testimonials,has_faq,has_contact,has_services,has_portfolio,color_count,top_colors,font_size_count,radius_count,shadow_count,padding_count,margin_count,design_profile
html,html_5472.html,1474,0,0,0,1,0,1,4,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_9812.html,1002,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,,0,0,0,0,0,image-rich-gallery
html,html_1881.html,800,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_7400.html,1218,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_3311.html,2878,1,0,3,1,0,2,4,2,0,1,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_10544.html,2096,0,0,1,1,0,2,3,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4234.html,1260,0,0,0,1,0,0,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_13687.html,1252,0,0,5,1,0,1,3,5,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_905.html,1921,3,0,3,1,0,0,3,4,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_9826.html,1883,0,0,0,1,0,0,3,4,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_7482.html,862,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_6565.html,1945,1,0,3,1,0,2,3,3,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6923.html,3450,1,0,0,0,0,0,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_10089.html,1823,1,0,2,1,0,0,3,3,0,0,1,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_8564.html,1429,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_11226.html,1672,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4469.html,1456,1,0,0,0,1,0,3,4,0,0,1,0,0,0,0,0,,0,0,0,0,0,form-focused
html,html_3657.html,2893,1,0,3,1,1,0,6,6,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4525.html,1133,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9904.html,1763,0,0,0,1,0,0,4,3,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_191.html,1731,1,0,0,1,0,4,7,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_6761.html,1194,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_8028.html,2446,0,0,4,1,0,1,7,4,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_12285.html,1128,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_6797.html,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4370.html,1969,0,0,2,1,0,0,3,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_13543.html,1652,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4920.html,1345,0,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
